pc11_state_id,pc11_district_id,year,roads_completed,road_length_km
08,126,2009,3,18.7
08,126,2014,4,13.86
08,127,2003,4,12.2
08,127,2004,7,18.770000000000003
08,127,2005,18,78.41
08,127,2006,15,58.18
08,127,2007,49,171.39000000000001
08,127,2008,35,101.02000000000002
08,127,2009,6,32.550000000000004
08,128,2003,8,18
08,128,2004,16,69.72999999999999
08,128,2005,26,92.24999999999999
08,128,2006,28,89.86
08,128,2007,90,273.14
08,128,2008,49,244.34999999999994
08,128,2009,27,103.35000000000002
08,128,2010,17,101.05999999999999
08,128,2011,1,1.68
08,128,2012,4,18.4
08,128,2013,4,12.3
08,128,2014,3,20.55
08,128,2015,2,2.9
08,129,2002,8,44
08,129,2003,11,51.51
08,129,2004,72,330.6000000000001
08,129,2005,36,186.17999999999998
08,129,2006,59,220.2200000000001
08,129,2007,131,433.31000000000023
08,129,2008,49,174.64999999999998
08,129,2009,7,41.8
08,129,2011,1,3.05
08,129,2012,1,2.9
08,129,2013,2,7.9
08,129,2014,4,22.2
08,130,2002,6,49.1
08,130,2003,17,88.45
08,130,2004,71,260.86
08,130,2005,72,425.8100000000001
08,130,2006,55,201.32
08,130,2007,234,768.13
08,130,2008,191,671.2299999999994
08,130,2009,44,124.28
08,130,2010,10,61.58
08,130,2011,11,41.2
08,130,2012,22,66.36999999999999
08,130,2013,27,81.26999999999998
08,131,2002,2,0.84
08,131,2003,1,3
08,131,2004,1,3
08,131,2007,1,7
09,132,2001,30,43.919999999999995
09,132,2003,14,31.779999999999998
09,132,2005,6,9.030000000000001
09,132,2007,2,5.46
09,132,2008,3,3.45
09,132,2009,1,1.82
09,133,2002,23,37.04
09,133,2003,2,2.4000000000000004
09,133,2005,11,21.490000000000002
09,133,2007,10,20.3
09,133,2008,1,3
09,134,2003,19,26.37
09,134,2005,21,32.4
09,134,2007,20,32.550000000000004
09,135,2004,20,33.64
09,135,2005,8,9.469999999999999
09,135,2006,2,1.7999999999999998
09,135,2007,31,53.629999999999995
09,135,2008,27,37.77
09,135,2009,13,24.610000000000003
09,136,2002,13,14.03
09,136,2003,9,21.259999999999998
09,136,2006,23,40.31
09,136,2007,39,62.5
09,136,2008,27,48.04999999999998
09,136,2009,13,29.259999999999998
09,137,2000,8,0
09,137,2001,6,13.4
09,137,2002,15,27.310000000000002
09,137,2003,7,19.22
09,137,2004,3,4.73
09,137,2005,20,39.589999999999996
09,137,2006,4,10
09,137,2007,6,15.819999999999999
09,137,2008,41,69.88
09,137,2009,7,23.990000000000002
09,137,2013,3,4.3100000000000005
09,138,2001,2,1.3
09,138,2002,17,17.889999999999997
09,138,2003,45,65.36
09,140,2003,24,26.900000000000006
09,140,2004,2,4
09,140,2008,1,0.9
09,141,2003,18,20.37
09,141,2005,2,1.9899999999999998
09,141,2006,6,14.569999999999999
09,141,2008,1,1.35
09,142,2002,2,0.9
09,142,2003,12,15.930000000000001
09,142,2004,2,1.25
09,142,2005,7,7.430000000000001
09,142,2008,1,2.9
09,143,2001,1,1.6
09,143,2003,16,21.9
09,143,2004,2,1.75
09,143,2005,17,41.51
09,143,2007,37,44.540000000000006
09,143,2008,18,37.11
09,143,2009,2,3.0300000000000002
09,144,2001,41,58.580000000000005
09,144,2003,7,10.920000000000002
09,144,2005,26,31.430000000000003
09,144,2006,15,16.23
09,144,2007,13,16.74
09,144,2008,6,11.41
