pc11_state_id,pc11_district_id,emp_all,count_all,emp_manuf,emp_services,census_year
08,115,73146.3348051822,38142.003800928396,18778.378604816666,53226.95597392725,2005
08,115,108017,55448,24265,82134,2013
08,116,41254,22426,16310,24487,1990
08,116,57012,28124,14859,41190,1998
08,116,89693,53333,31074,56705,2005
08,116,97412,52282,27223,69451,2013
08,117,35777,15780,11947,23290,1990
08,117,49751,21346,14819,34588,1998
08,117,64420,28029,19520,43475,2005
08,117,74155,32598,14355,59199,2013
08,118,76585.74897521893,33988.970467672814,21726,54599.74897521893,1990
08,118,106409,46536,31945,73093,1998
08,118,119987,57311,32910,86044,2005
08,118,166330,78539,37969,127388,2013
08,119,152040.61499299048,56851.146093115916,49111.848963329154,102339.76602966133,1990
08,119,170861.73849878935,66057.12994350283,44819.260694108154,125063.4778046812,1998
08,119,199455.27730375426,86216.2585324232,51465.03132618235,147165.24597757193,2005
08,119,254368,107366,59228,194148,2013
08,120,48015.616070399265,24899.536679091572,20565.634169772893,27037.981900626368,1990
08,120,61876,31839,18219,43170,1998
08,120,72960,40289,19896,52659,2005
08,120,100833,50850,18712,81582,2013
08,121,39641,17464,11893,22320,1990
08,121,49579,23893,11005,35742,1998
08,121,60594,33260,16044,41380,2005
08,121,85688,45329,16542,68047,2013
08,122,94644,40690,21740,69846,1990
08,122,144675,48712,23924,116764,1998
08,122,148761,64428,31463,113287,2005
08,122,226634,92022,46256,175330,2013
08,123,45528,20989,18001,24576,1990
08,123,57286.2517010899,24982.138134521585,20301.58192328536,32444.356536400315,1998
08,123,83762,37680,29387,48277,2005
08,123,105651,48849,29427,70041,2013
08,124,25842,12745,7817,16051,1990
08,124,35520,17105,5691,27693,1998
08,124,42170,22659,7405,33666,2005
08,124,56062,27315,10151,45218,2013
08,125,40490,16441,10414,27591,1990
08,125,50169,20856,13471,34924,1998
08,125,67040.11611678732,25579.563479525852,21334.44984032095,44729.65079725875,2005
08,125,78668,30351,12704,65541,2013
08,126,65825,30246,24415,37515,1990
08,126,76300,37871,25305,48854,1998
08,126,90715,50823,22456,66105,2005
08,126,128156,60761,40073,86993,2013
08,127,99381,36611,26075,68378,1990
08,127,121862.48427026754,51718.04743933394,26707.112246469715,93024.64503747055,1998
08,127,126947.63283914982,56140.594463395435,30871.51266071897,93357.90035423773,2005
08,127,193315,78506,44712,147462,2013
08,128,25792,14659,6864,18721,1990
08,128,35218.69982064243,19940.011902820806,7272.624816566117,27709.07500407631,1998
08,128,48053.63283914983,27519.594463395435,9687.51266071897,38091.90035423773,2005
08,128,80401,40390,16743,63156,2013
08,129,37859,20803,11418,25766,1990
08,129,50205.7890625,24902.2734375,15454,33716.7890625,1998
08,129,61417.57518056467,31904.921864740645,13845.845699277741,46281.72948128694,2005
08,129,97995,49174,19096,77977,2013
08,130,59266.719201414206,28903.86650559036,17991.861902334855,37561.85729907935,1990
08,130,129024.32407407407,53005.7207977208,30536.04772079772,95244.58831908832,1998
08,130,150802,66850,36376,111793,2005
08,130,212511,92629,42377,167525,2013
08,131,18393,9973,4330,12787,1990
08,131,23033,12866,4830,17796,1998
08,131,27681,15706,5956,21508,2005
08,131,44818,24321,7987,35966,2013
09,132,114929,44589,46113,68761,1990
09,132,143224,65034,48857,94264,1998
09,132,195180,94683,68327,125928,2005
09,132,247479,115774,69718,176615,2013
09,133,167309,68288,66567,100704,1990
09,133,200531,84606,82059,118313,1998
09,133,186703,92855,58129,128369,2005
09,133,233368,114878,65329,167582,2013
09,134,119148,45557,47601,71127,1990
09,134,124789,57929,45296,79334,1998
09,134,150832,81875,43013,107244,2005
09,134,232944,110409,59913,171937,2013
09,135,167511,62791,75000,92157,1990
09,135,173955,64652,89551,84227,1998
09,135,198460,89172,64618,133329,2005
09,135,333777,162467,104145,229436,2013
09,136,74991,35738,27906,46882,1990
09,136,88376,40726,40914,47317,1998
09,136,86682,52448,26525,59266,2005
09,136,163398,86390,63998,98165,2013
09,137,50413,20708,22540,27715,1990
09,137,64897,24986,30277,34539,1998
09,137,62607,35652,20393,41917,2005
09,137,128232,61124,50915,77020,2013
09,138,171429.52770970037,63463.853427148395,53505.78828365879,117872.73942604157,1990
09,138,173548,72907,51736,121783,1998
09,138,193107,94277,46949,145430,2005
09,138,322445,154486,97717,223475,2013
09,139,53721,20148,23213,30491,1990
09,139,60604,21568,29899,30705,1998
09,139,66340,31238,24865,41085,2005
09,139,65114,33116,20391,44652,2013
09,140,206304.1168331657,51484.13426835117,93492.2681733293,112759.84865983643,1990
09,140,191131.9733696334,52101.598774408456,81627.73080193084,109458.24256770255,1998
09,140,244280,112707,66689,175428,2005
09,140,414552,174494,118809,294436,2013
09,141,62889,12316,40236,22650,1990
09,141,110796,22119,61797,48987,1998
09,141,258178,39556,137736,114057,2005
09,141,608571,59817,309026,299148,2013
09,142,105211,46883,40415,64790,1990
09,142,123007,56827,39728,83245,1998
09,142,112981,63948,28797,83346,2005
09,142,199007,100659,55586,143125,2013
09,143,107021,40895,46442,60492,1990
09,143,121018,47093,45812,75206,1998
09,143,167076,72716,50254,116675,2005
09,143,215594,101784,67454,147888,2013
09,144,45801,19641,17170,28628,1990
09,144,38605,17892,11659,26937,1998
09,144,56901,29459,18562,38080,2005
09,144,139390,54690,27661,111546,2013
09,145,65808,28545,20106,45688,1990
09,145,79078,36500,21215,57813,1998
09,145,85791,47849,19350,65783,2005
09,145,115634,55270,27446,88108,2013
09,146,193948,66896,85809,108058,1990
09,146,226036,78300,77911,147758,1998
09,146,185006,86246,44775,139507,2005
09,146,380399,155610,97648,281892,2013
09,147,40317,15578,18623,21636,1990
09,147,114039,35138,64461,49549,1998
09,147,105415,47252,30513,74620,2005
09,147,211687,68335,115929,95681,2013
09,148,28636,14615,6995,21619,1990
09,148,34808,17097,10374,24429,1998
09,148,39990,22740,8673,31072,2005
09,148,72758,39670,11926,60777,2013
09,149,62099,32879,20123,41726,1990
09,149,92357,46242,33664,58593,1998
09,149,122626,69542,33162,89174,2005
09,149,189093,96508,57103,131434,2013
09,150,129330,53109,51115,77942,1990
09,150,174467,67653,70757,103455,1998
09,150,185294,101183,69725,114501,2005
09,150,436662,217610,194264,241250,2013
09,151,33090,15466,15236,17607,1990
09,151,55602,27486,20310,34853,1998
09,151,74952,42643,20964,53708,2005
09,151,129321,67722,42410,86320,2013
09,152,57428,25273,23412,33879,1990
09,152,59218,29779,19467,39609,1998
09,152,87243,47604,31315,55813,2005
09,152,149606,74600,49457,99911,2013
09,153,100870,27729,59531,41065,1990
09,153,77502,33804,30595,46611,1998
09,153,79600,47368,21242,58081,2005
09,153,130008,71341,30206,99006,2013
09,154,81779,36841,36265,45313,1990
09,154,96698,45432,32316,64293,1998
09,154,126256,80358,35874,89066,2005
09,154,210839,103456,57822,152061,2013
09,155,260980,30827,20121,240711,1990
09,155,79992,41452,26403,53251,1998
09,155,92586,54186,28039,64285,2005
09,155,162843,81869,43047,119244,2013
09,156,50149,23889,19034,31054,1990
09,156,63790,30339,20789,42871,1998
09,156,81609,49531,24625,56833,2005
09,156,102585,54234,24562,76052,2013
09,157,190956,65640,46467,144335,1990
09,157,295094,118504,62855,232231,1998
09,157,331071,152914,63207,267253,2005
09,157,482302,206533,103631,377263,2013
09,158,74055,36259,25909,47974,1990
09,158,77871,40446,27956,49786,1998
09,158,75512,45747,15617,59713,2005
09,158,126821,64287,33406,92614,2013
09,159,52763,20767,17866,34867,1990
09,159,57374,23229,22873,34471,1998
09,159,51965,29077,13943,38014,2005
09,159,84856,39556,28667,55967,2013
09,160,28948,11255,13531,15404,1990
09,160,36878,18169,15117,21757,1998
09,160,31484,21021,8131,23253,2005
09,160,76849,39891,25469,51040,2013
09,161,32742,15491,8650,24059,1990
09,161,27398,12993,7824,19551,1998
09,161,58038,27880,13280,44596,2005
09,161,80133,44535,13882,65754,2013
09,162,25142,12632,6150,18986,1990
09,162,30787,15577,8274,22512,1998
09,162,42366,23786,8556,33761,2005
09,162,48056,26361,7981,40015,2013
09,163,37326,19342,13650,23594,1990
09,163,40163,19694,13933,26203,1998
09,163,65689,26649,22817,42521,2005
09,163,72986,31346,15834,56774,2013
09,164,34346,16096,13468,20821,1990
09,164,286388,95573,79522,205391,1998
09,164,340004,139126,95151,244339,2005
09,164,408639,157175,117155,290997,2013
09,165,44437,22840,11075,33320,1990
09,165,49620,26019,12158,37394,1998
09,165,65109,38511,13852,51081,2005
09,165,79906,45889,13889,65764,2013
09,166,49568,18858,11609,37492,1990
09,166,65078,33543,14175,50306,1998
09,166,66256,38809,13404,52544,2005
09,166,105812,57271,16915,87176,2013
