pc11_state_id,pc11_district_id,year,dmsp_total_light_cal,roads_completed,road_length_km,tot_p,sc_share,st_share,lit_rate,lfp_rate,ec_emp_all,ec_count_all,ec_emp_manuf,ec_emp_services,winning_party,incumbent_won
18,318,1998,3743.334838867187,NA,NA,542852,0.10913471811838216,0.0015123827488892,0.4854601254117144,0.331353665455778,38690,9556,6916,31347,AGP,No
18,318,1999,3772.604248046875,NA,NA,542852,0.10913471811838216,0.0015123827488892,0.4854601254117144,0.331353665455778,38690,9556,6916,31347,AGP,No
18,318,2000,4539.9217529296875,NA,NA,542852,0.10913471811838216,0.0015123827488892,0.4854601254117144,0.331353665455778,38690,9556,6916,31347,AGP,No
18,318,2001,2947.3653564453125,NA,NA,542852,0.10913471811838216,0.0015123827488892,0.4854601254117144,0.331353665455778,38690,9556,6916,31347,INC,No
18,318,2002,3771.298950195313,NA,NA,542852,0.10913471811838216,0.0015123827488892,0.4854601254117144,0.331353665455778,38690,9556,6916,31347,INC,No
18,318,2003,2848.53466796875,4,20.44,542852,0.10913471811838216,0.0015123827488892,0.4854601254117144,0.331353665455778,38690,9556,6916,31347,INC,No
18,318,2004,3118.7103271484375,6,19.8,542852,0.10913471811838216,0.0015123827488892,0.4854601254117144,0.331353665455778,38690,9556,6916,31347,INC,No
18,318,2005,2854.6336669921875,3,19.44,542852,0.10913471811838216,0.0015123827488892,0.4854601254117144,0.331353665455778,29163,13139,4849,24145,INC,No
18,318,2006,2894.6285400390625,NA,NA,542852,0.10913471811838216,0.0015123827488892,0.4854601254117144,0.331353665455778,29163,13139,4849,24145,INC,Yes
18,318,2007,4304.0863037109375,3,7.800000000000001,542852,0.10913471811838216,0.0015123827488892,0.4854601254117144,0.331353665455778,29163,13139,4849,24145,INC,Yes
18,318,2008,4086.3056640625,10,25.83,542852,0.10913471811838216,0.0015123827488892,0.4854601254117144,0.331353665455778,29163,13139,4849,24145,INC,Yes
18,318,2009,3931.30712890625,NA,NA,542852,0.10913471811838216,0.0015123827488892,0.4854601254117144,0.331353665455778,29163,13139,4849,24145,INC,Yes
18,318,2010,6550.6005859375,5,11.7,542852,0.10913471811838216,0.0015123827488892,0.4854601254117144,0.331353665455778,29163,13139,4849,24145,INC,Yes
18,318,2011,5871.96728515625,11,40.85,659296,0.10717340921225064,0.00104808765713731,0.6178802844245984,0.32495267679464157,29163,13139,4849,24145,INC,Yes
18,318,2012,5089.67529296875,18,117.91,659296,0.10717340921225064,0.00104808765713731,0.6178802844245984,0.32495267679464157,29163,13139,4849,24145,INC,Yes
18,318,2013,4993.67333984375,10,31.479999999999997,659296,0.10717340921225064,0.00104808765713731,0.6178802844245984,0.32495267679464157,63783,40176,8481,54294,INC,Yes
18,319,1994,3236.591552734375,NA,NA,610754,0.10822851753733909,0.02269817307786768,0.49940892732589554,0.3053635342543807,3276,1427,586,2689,INC,No
18,319,1995,3513.212890625,NA,NA,610754,0.10822851753733909,0.02269817307786768,0.49940892732589554,0.3053635342543807,3276,1427,586,2689,INC,No
18,319,1996,6339.03662109375,NA,NA,610754,0.10822851753733909,0.02269817307786768,0.49940892732589554,0.3053635342543807,3276,1427,586,2689,AGP,No
18,319,1997,5156.377197265625,NA,NA,610754,0.10822851753733909,0.02269817307786768,0.49940892732589554,0.3053635342543807,3276,1427,586,2689,AGP,No
18,319,1998,5481.52880859375,NA,NA,610754,0.10822851753733909,0.02269817307786768,0.49940892732589554,0.3053635342543807,27416,10012,3958,23215,AGP,No
18,319,1999,4801.606201171875,NA,NA,610754,0.10822851753733909,0.02269817307786768,0.49940892732589554,0.3053635342543807,27416,10012,3958,23215,AGP,No
18,319,2000,6662.524658203125,NA,NA,610754,0.10822851753733909,0.02269817307786768,0.49940892732589554,0.3053635342543807,27416,10012,3958,23215,AGP,No
18,319,2001,4615.59375,NA,NA,610754,0.10822851753733909,0.02269817307786768,0.49940892732589554,0.3053635342543807,27416,10012,3958,23215,INC,No
18,319,2002,5471.0322265625,1,0.56,610754,0.10822851753733909,0.02269817307786768,0.49940892732589554,0.3053635342543807,27416,10012,3958,23215,INC,No
18,319,2003,4424.78271484375,20,48.37000000000001,610754,0.10822851753733909,0.02269817307786768,0.49940892732589554,0.3053635342543807,27416,10012,3958,23215,INC,No
